crime type: BURGLARY
SUM SQUARED ERROR: 0.012029055376008365
months with highest error:
4/2020 error 0.0016610169432423965
11/2021 error 0.0014437044901900906
10/2021 error 0.0005796569320528625
3/2020 error 0.000550648179419295
2/2019 error 0.0005273370397927074
12/2019 error 0.00044067278552082224
11/2018 error 0.000347532624167543
5/2016 error 0.00031787610182204784
9/2020 error 0.00030894061223624153
5/2021 error 0.0003023145058544192
10/2016 error 0.0002943162890181375
12/2016 error 0.0002899747707574894
9/2021 error 0.0002741896710947487
2/2017 error 0.00026721888417657473
8/2019 error 0.00025900738744809277
4/2019 error 0.0002569200695907869
11/2016 error 0.00019260306811726862
9/2017 error 0.00019023385081933192
1/2019 error 0.0001721695360072745
7/2015 error 0.0001703184543665001
11/2019 error 0.00015616961941041874
10/2017 error 0.00015602244694452793
2/2021 error 0.00014877745919474722
3/2019 error 0.00014868243209894823
4/2017 error 0.00013537628061396998
2/2015 error 0.00012698222272310988
12/2018 error 0.00012687433361872593
11/2017 error 0.00011599870809843888
10/2019 error 0.00011424611185375624
8/2015 error 0.00010739318636644203
3/2021 error 0.00010384559539440609
8/2021 error 0.00010325229471161601
6/2017 error 0.00010313204709105595
8/2020 error 9.73348390866721e-05
12/2020 error 9.648687216003859e-05
3/2015 error 9.164498523011694e-05
6/2020 error 9.11718552077148e-05
1/2021 error 9.068195252300403e-05
9/2019 error 9.044301930128961e-05
11/2015 error 8.932619051641725e-05
1/2017 error 8.591307394413395e-05
6/2015 error 7.615123189675688e-05
1/2016 error 7.550356312162832e-05
7/2017 error 6.191905433219995e-05
6/2016 error 4.320765152179054e-05
3/2017 error 3.923602689875842e-05
7/2021 error 3.6041342443885934e-05
4/2016 error 3.371444897792707e-05
2/2020 error 3.328075582114324e-05
5/2020 error 3.2112133089571516e-05
7/2019 error 2.935807591384874e-05
12/2017 error 2.704722676724379e-05
3/2018 error 2.459596743780272e-05
4/2018 error 2.349552182750912e-05
5/2015 error 2.1844326792937813e-05
8/2016 error 2.1687557572047714e-05
1/2018 error 2.089522537426114e-05
5/2018 error 1.913738039230495e-05
9/2015 error 1.8767842713322354e-05
7/2016 error 1.8591055030585227e-05
10/2020 error 1.6923258619395434e-05
9/2018 error 1.5420408483407013e-05
8/2017 error 1.4701974198664025e-05
6/2019 error 1.4263828074395568e-05
6/2018 error 1.410628716494525e-05
1/2020 error 1.3621304582427595e-05
7/2020 error 9.628297777271926e-06
10/2018 error 8.361029909397397e-06
7/2018 error 6.741757236502258e-06
3/2016 error 6.7344966804461105e-06
5/2017 error 5.855125563975811e-06
2/2016 error 3.4701314299023955e-06
5/2019 error 2.9402103300279295e-06
11/2020 error 2.910390227106421e-06
6/2021 error 2.8272449145370327e-06
8/2018 error 2.1298484856255435e-06
4/2015 error 1.4172932568318703e-06
10/2015 error 1.3948772006976304e-06
1/2015 error 1.234163237165129e-06
4/2021 error 5.883779912507546e-07
12/2015 error 3.9983080953423673e-07
2/2018 error 2.3033202234116198e-07
9/2016 error 1.6079810280902844e-07
