crime type: OBSCENITY
SUM SQUARED ERROR: 3.946936196283265
months with highest error:
11/2020 error 0.5783005126678193
5/2019 error 0.32211502715714263
9/2016 error 0.20129563726588767
12/2015 error 0.1656904490070571
5/2021 error 0.15662771214479396
7/2021 error 0.14740730249886946
3/2015 error 0.1235981662585333
4/2018 error 0.10514699819376991
7/2017 error 0.09731288443476983
4/2015 error 0.09501869206454822
9/2021 error 0.08716722101835486
7/2015 error 0.0833638086617988
8/2015 error 0.07984176250166625
7/2016 error 0.0750463858977469
10/2015 error 0.07330375592846387
4/2021 error 0.07035684568276047
2/2016 error 0.06208574116150226
12/2020 error 0.059701310394178975
1/2015 error 0.05861850522234545
10/2020 error 0.05518334395968203
9/2020 error 0.05310939091003872
6/2016 error 0.05305403850399224
8/2016 error 0.04925948791500133
5/2020 error 0.04594227854546236
8/2021 error 0.044563269745770864
3/2020 error 0.04297858854748043
10/2019 error 0.04295710902002696
6/2015 error 0.041998641349054566
2/2020 error 0.041638604358916274
1/2017 error 0.04160304524346471
1/2020 error 0.04038867097138956
2/2017 error 0.04035554240477508
9/2018 error 0.040043447100611716
12/2019 error 0.03922561620206256
5/2015 error 0.036275350838080735
9/2019 error 0.03622864329545867
8/2019 error 0.035384903168062726
7/2019 error 0.034614822230359645
8/2017 error 0.03459466691483759
7/2018 error 0.03327978309378725
4/2019 error 0.032726259087974
11/2017 error 0.0327117732738795
1/2019 error 0.03143503311846071
3/2018 error 0.03112371123051188
11/2018 error 0.030889014736621364
6/2018 error 0.03058453431329171
12/2018 error 0.024615413347594515
2/2019 error 0.0240261775598989
6/2017 error 0.020465790239660997
1/2021 error 0.015452745687653502
1/2016 error 0.014566735405252365
10/2017 error 0.013828945326819468
3/2021 error 0.013279303515720027
6/2020 error 0.013275763021920578
10/2018 error 0.012205362849597334
12/2017 error 0.011282370872462108
9/2017 error 0.010322560866114421
4/2016 error 0.008821643398720016
2/2021 error 0.0077060800107869275
6/2021 error 0.005887741358858542
3/2019 error 0.004965864271267078
2/2018 error 0.004377444001348444
6/2019 error 0.0043344125043128096
11/2015 error 0.004237430378697497
7/2020 error 0.004052442356380856
5/2017 error 0.003286645757586002
11/2019 error 0.0027514225062738678
5/2018 error 0.002522512931158517
12/2016 error 0.0018300497648960183
4/2020 error 0.0015412313133760325
8/2018 error 0.0010150975878977207
9/2015 error 0.0007059169005580271
8/2020 error 0.0006848406394611363
5/2016 error 0.00023145005166742147
10/2016 error 0.00020278380298204135
2/2015 error 0.0001256713020358293
11/2016 error 0.00011331410432238577
3/2016 error 3.359062034833739e-05
4/2017 error 2.267541248196001e-05
1/2018 error 1.2385241385138165e-05
3/2017 error 4.093132704134281e-06
