crime type: PROSTITUTION
SUM SQUARED ERROR: 0.015613982150813187
months with highest error:
8/2020 error 0.010793544121008485
3/2020 error 0.002222565130807314
9/2021 error 0.0010691993117158414
8/2021 error 0.00015072400684385285
7/2021 error 0.0001394017372601033
6/2021 error 0.00012872205485235988
5/2021 error 0.00011866048725031593
3/2021 error 0.0001002961524602647
2/2021 error 9.19467860457511e-05
1/2021 error 8.412233600212512e-05
12/2020 error 7.680067551218613e-05
11/2020 error 6.996014684035e-05
10/2020 error 6.357956140510147e-05
9/2020 error 5.763819972864502e-05
7/2020 error 4.699261523936895e-05
6/2020 error 4.224929903844961e-05
6/2015 error 4.07152312584033e-05
2/2015 error 3.896738949812591e-05
5/2020 error 3.7867019780001904e-05
4/2020 error 3.38274035477376e-05
2/2020 error 2.670501008735631e-05
1/2020 error 2.3587830577833286e-05
12/2019 error 2.0744509575209235e-05
11/2019 error 1.8159018712591017e-05
10/2019 error 1.5815798762521156e-05
9/2019 error 1.3699759598839781e-05
8/2019 error 1.1796280225474326e-05
7/2019 error 1.009120872426846e-05
6/2019 error 8.57086232900315e-06
5/2019 error 7.2220273677300775e-06
4/2019 error 6.031959285122915e-06
1/2015 error 5.667027259503022e-06
3/2019 error 4.988382637322278e-06
2/2019 error 4.079491098418413e-06
3/2015 error 3.8034361517715045e-06
1/2019 error 3.293947455206339e-06
4/2015 error 3.056718935778001e-06
12/2018 error 2.6208836013766903e-06
5/2015 error 2.418949414142416e-06
11/2018 error 2.0499005527201834e-06
10/2018 error 1.571068435991837e-06
7/2015 error 1.4297545517420672e-06
9/2018 error 1.1749264868850132e-06
8/2015 error 1.0592525373954935e-06
8/2018 error 8.524830614312311e-07
9/2015 error 7.595448769888608e-07
7/2018 error 5.952156246003538e-07
10/2015 error 5.222660187158933e-07
6/2018 error 3.950707548571757e-07
11/2015 error 3.395195232086904e-07
5/2018 error 2.4446414738898486e-07
2/2017 error 2.081150389086145e-07
3/2017 error 2.0676737238327948e-07
12/2015 error 2.03878068015872e-07
1/2017 error 2.0145149260957171e-07
4/2017 error 1.9748698366325826e-07
12/2016 error 1.8716735388668357e-07
5/2017 error 1.808214764629805e-07
11/2016 error 1.6612236107547728e-07
6/2017 error 1.5778756923448705e-07
10/2016 error 1.3964536201606302e-07
4/2018 error 1.362806080746303e-07
7/2017 error 1.2987109417004621e-07
9/2016 error 1.095343200289249e-07
1/2016 error 1.0838344021200263e-07
8/2017 error 9.90269951967271e-08
8/2016 error 7.805631179344261e-08
9/2017 error 6.76793311849635e-08
3/2018 error 6.38740567630478e-08
7/2016 error 4.794752706832029e-08
2/2016 error 4.65465420972641e-08
10/2017 error 3.872127450012029e-08
6/2016 error 2.2413268926118296e-08
2/2018 error 2.106752745686013e-08
11/2017 error 1.5515109800661446e-08
3/2016 error 1.2347390307798517e-08
5/2016 error 5.127954043286232e-09
1/2018 error 2.1531671228697968e-09
12/2017 error 1.8922366033320347e-09
4/2016 error 2.3511340397830704e-10
