crime type: ROBBERY
SUM SQUARED ERROR: 0.022605993919343998
months with highest error:
2/2015 error 0.001873630241042409
4/2021 error 0.0018618653082816163
10/2021 error 0.001486289415100264
1/2020 error 0.0013302651184458102
11/2021 error 0.0011889824344556471
3/2019 error 0.0011369536042697432
1/2017 error 0.0008286339593658187
12/2016 error 0.0007336560502529816
4/2019 error 0.0006703587882277904
5/2019 error 0.0005912934184005981
9/2015 error 0.0005422305632432983
11/2017 error 0.0005248862009005476
5/2021 error 0.00041509480396863463
12/2015 error 0.0004135640686127489
3/2020 error 0.00037547524295240646
1/2015 error 0.0003576645849360758
8/2016 error 0.0003485241452300714
8/2021 error 0.00034340479835584807
4/2016 error 0.0003308166289326583
9/2020 error 0.00031454962734967374
6/2016 error 0.0003135655190791077
11/2016 error 0.0003101637325142317
10/2019 error 0.0002879841510263717
7/2021 error 0.00027782568713292287
7/2015 error 0.00026868551036379637
10/2015 error 0.000265921425527995
1/2018 error 0.00023887649092726998
12/2018 error 0.00022864577809998207
9/2021 error 0.00022824879294290395
6/2019 error 0.00022484706619901632
9/2017 error 0.00021574639885191314
12/2017 error 0.00020993708966579458
5/2020 error 0.0002056701901658384
3/2015 error 0.00020281620374850028
4/2017 error 0.0001986190267690091
5/2016 error 0.00019218086244211205
2/2021 error 0.0001875100801598578
2/2017 error 0.00018666612290270805
2/2019 error 0.00018640658136361056
1/2019 error 0.00017372493495853856
11/2019 error 0.0001671220216256246
11/2015 error 0.0001443615414480304
8/2020 error 0.000142759676686311
10/2016 error 0.00013773549104314256
7/2016 error 0.00011853098139874248
11/2020 error 0.00011833852550477711
7/2019 error 0.00011586894662789092
9/2016 error 0.00010855301000326225
3/2018 error 9.775032175808708e-05
2/2020 error 9.492802925971424e-05
10/2020 error 8.50701305471103e-05
9/2018 error 8.019296492328473e-05
8/2015 error 7.8938477018437e-05
8/2018 error 7.871811711093725e-05
8/2019 error 7.306812419766249e-05
3/2016 error 7.12625576890241e-05
4/2018 error 6.408460311197808e-05
10/2017 error 5.796124145584656e-05
2/2016 error 5.471540123968833e-05
6/2021 error 5.278194616926168e-05
4/2020 error 5.113656424632781e-05
6/2020 error 3.631865089948602e-05
10/2018 error 3.492664410994257e-05
5/2015 error 3.420293684811596e-05
11/2018 error 3.316052350354023e-05
7/2018 error 2.8451817309994998e-05
1/2021 error 2.700674730299782e-05
6/2017 error 2.637976665265731e-05
12/2019 error 2.1982478977846376e-05
2/2018 error 1.8785899466279582e-05
7/2017 error 1.3152015039337943e-05
6/2015 error 1.2721972029557961e-05
12/2020 error 1.0179015145426815e-05
4/2015 error 9.661156902662747e-06
6/2018 error 8.813209517692028e-06
8/2017 error 7.5269200865813646e-06
9/2019 error 6.52750624582254e-06
5/2017 error 3.3571665537579216e-06
1/2016 error 2.936159453014978e-06
5/2018 error 2.8768071307371194e-06
7/2020 error 5.504615737045291e-07
3/2021 error 3.7366457169751e-07
3/2017 error 4.3079791882936916e-08
