crime type: STALKING
SUM SQUARED ERROR: 0.8621909002504518
months with highest error:
1/2015 error 0.09490918206066026
1/2019 error 0.07075405090807817
11/2019 error 0.06670465348060853
8/2019 error 0.048805082024121545
9/2020 error 0.0283388433401392
2/2015 error 0.02595817304045905
8/2015 error 0.02397603121034211
10/2017 error 0.023433193309786694
3/2018 error 0.023383500313542128
11/2015 error 0.02214222173528209
12/2015 error 0.021746205810683875
5/2016 error 0.020977904155779496
2/2016 error 0.02097035165317405
9/2015 error 0.02034126827597002
4/2016 error 0.020215734660129353
3/2017 error 0.01822185479996926
10/2016 error 0.018075361657305805
12/2016 error 0.017401767251093953
9/2017 error 0.016680570724357028
4/2017 error 0.016112080188252394
12/2020 error 0.014699055685499764
11/2017 error 0.014031829953257495
12/2017 error 0.013752276879676485
1/2018 error 0.013476995035125346
2/2018 error 0.013205939960402986
11/2018 error 0.010949430306103545
3/2019 error 0.01004706186535105
6/2017 error 0.008065090841630162
2/2019 error 0.00794762558984868
3/2020 error 0.007678066749616822
4/2020 error 0.0075020780003953
5/2020 error 0.0073292051053449854
6/2016 error 0.007059735264188824
8/2020 error 0.006828904422674212
2/2021 error 0.005907398558952861
1/2016 error 0.005789181590956313
3/2021 error 0.005763642583649137
7/2016 error 0.005743378035485189
10/2015 error 0.005195041335354119
1/2017 error 0.005160584633297206
10/2021 error 0.004831351313301926
11/2021 error 0.004708324159539454
1/2020 error 0.0041194122784623845
10/2019 error 0.003730417674552951
9/2018 error 0.003574510001278565
8/2017 error 0.0035463792206244975
6/2018 error 0.0031787260698959343
4/2015 error 0.0031304533343642148
7/2021 error 0.00278597207836128
3/2016 error 0.002765130645310949
12/2018 error 0.0023014494732121037
4/2021 error 0.0021370397516226707
8/2016 error 0.002124247549237191
6/2015 error 0.001973114804563358
11/2016 error 0.0018743296613433246
6/2021 error 0.001584054134618164
5/2015 error 0.0015450836424611186
5/2019 error 0.001540322802844561
6/2020 error 0.0015334079173184281
10/2018 error 0.0015280035278171973
7/2018 error 0.0015212828737441366
8/2021 error 0.0012669234462848037
1/2021 error 0.0011091751655831952
2/2020 error 0.0010946401168475067
11/2020 error 0.0010304793298569783
5/2017 error 0.0007920103425808083
5/2018 error 0.0007896872994672217
7/2017 error 0.0007853691051867317
8/2018 error 0.0006413294330200628
10/2020 error 0.0006315492235874188
7/2019 error 0.0005793146203362696
7/2020 error 0.0004461431547725704
9/2016 error 0.0004134670897070748
2/2017 error 0.0003349225580667353
3/2015 error 0.0002805088202669899
6/2019 error 0.00018671271384490198
9/2021 error 0.0001671444531701641
7/2015 error 0.0001289363427936518
4/2019 error 6.790621639738937e-05
12/2019 error 5.4155745505975535e-05
5/2021 error 4.935722036270303e-05
4/2018 error 2.5581688389576724e-05
9/2019 error 2.0202534030993405e-06
